Jun 01 04:03:02 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:02 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:03 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 016: setTargets(busB, 45.76A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 014: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 011: setTargets(busB, 47.36A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 012: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:04 pbc805673 chassis-server[600]: 015: setTargets(busB, 48.96A, 830.00V, 880.00V-max
Jun 01 04:03:05 pbc805673 chassis-server[600]: modules: present 5, reserved 5, preparing 0, ready 5, active 5
